Chemical	cJMP	Unit	Date	Well	Organism	Media	Dose	Induced	Rep	Time	OD600	Instrument
none	0		2022-03-22	F10	5123	EZ	0	FALSE	14	1800	0.109	sunrise
none	0		2022-03-22	F11	5144	EZ	0	FALSE	6	1800	0.105	sunrise
none	0		2022-03-22	F12	5144	EZ	0	FALSE	14	1800	0.107	sunrise
none	0		2022-03-22	G1	0	LB	0	FALSE	7	1800	0.085	sunrise
none	0		2022-03-22	G2	0	LB	0	FALSE	15	1800	0.085	sunrise
none	0		2022-03-22	G3	5123	LB	0	FALSE	7	1800	0.099	sunrise
none	0		2022-03-22	G4	5123	LB	0	FALSE	15	1800	0.098	sunrise
none	0		2022-03-22	G5	5144	LB	0	FALSE	7	1800	0.109	sunrise
none	0		2022-03-22	G6	5144	LB	0	FALSE	15	1800	0.104	sunrise
none	0		2022-03-22	G7	0	EZ	0	FALSE	7	1800	0.092	sunrise
none	0		2022-03-22	G8	0	EZ	0	FALSE	15	1800	0.087	sunrise
none	0		2022-03-22	G9	5123	EZ	0	FALSE	7	1800	0.108	sunrise
none	0		2022-03-22	G10	5123	EZ	0	FALSE	15	1800	0.108	sunrise
none	0		2022-03-22	G11	5144	EZ	0	FALSE	7	1800	0.103	sunrise
none	0		2022-03-22	G12	5144	EZ	0	FALSE	15	1800	0.107	sunrise
none	0		2022-03-22	H1	0	LB	0	FALSE	8	1800	0.084	sunrise
none	0		2022-03-22	H2	0	LB	0	FALSE	16	1800	0.084	sunrise
none	0		2022-03-22	H3	5123	LB	0	FALSE	8	1800	0.107	sunrise
none	0		2022-03-22	H4	5123	LB	0	FALSE	16	1800	0.132	sunrise
none	0		2022-03-22	H5	5144	LB	0	FALSE	8	1800	0.107	sunrise
none	0		2022-03-22	H6	5144	LB	0	FALSE	16	1800	0.103	sunrise
none	0		2022-03-22	H7	0	EZ	0	FALSE	8	1800	0.096	sunrise
none	0		2022-03-22	H8	0	EZ	0	FALSE	16	1800	0.088	sunrise
none	0		2022-03-22	H9	5123	EZ	0	FALSE	8	1800	0.119	sunrise
none	0		2022-03-22	H10	5123	EZ	0	FALSE	16	1800	0.116	sunrise
none	0		2022-03-22	H11	5144	EZ	0	FALSE	8	1800	0.122	sunrise
none	0		2022-03-22	H12	5144	EZ	0	FALSE	16	1800	0.125	sunrise
none	0		2022-03-22	A1	0	LB	0	FALSE	1	2700	0.081	sunrise
none	0		2022-03-22	A2	0	LB	0	FALSE	9	2700	0.082	sunrise
none	0		2022-03-22	A3	5123	LB	0	FALSE	1	2700	0.114	sunrise
none	0		2022-03-22	A4	5123	LB	0	FALSE	9	2700	0.132	sunrise
none	0		2022-03-22	A5	5144	LB	0	FALSE	1	2700	0.102	sunrise
none	0		2022-03-22	A6	5144	LB	0	FALSE	9	2700	0.099	sunrise
none	0		2022-03-22	A7	0	EZ	0	FALSE	1	2700	0.087	sunrise
none	0		2022-03-22	A8	0	EZ	0	FALSE	9	2700	0.093	sunrise
none	0		2022-03-22	A9	5123	EZ	0	FALSE	1	2700	0.112	sunrise
none	0		2022-03-22	A10	5123	EZ	0	FALSE	9	2700	0.113	sunrise
none	0		2022-03-22	A11	5144	EZ	0	FALSE	1	2700	0.111	sunrise
none	0		2022-03-22	A12	5144	EZ	0	FALSE	9	2700	0.122	sunrise
none	0		2022-03-22	B1	0	LB	0	FALSE	2	2700	0.085	sunrise
none	0		2022-03-22	B2	0	LB	0	FALSE	10	2700	0.083	sunrise
none	0		2022-03-22	B3	5123	LB	0	FALSE	2	2700	0.101	sunrise
none	0		2022-03-22	B4	5123	LB	0	FALSE	10	2700	0.099	sunrise
none	0		2022-03-22	B5	5144	LB	0	FALSE	2	2700	0.103	sunrise
none	0		2022-03-22	B6	5144	LB	0	FALSE	10	2700	0.1	sunrise
none	0		2022-03-22	B7	0	EZ	0	FALSE	2	2700	0.094	sunrise
none	0		2022-03-22	B8	0	EZ	0	FALSE	10	2700	0.093	sunrise
none	0		2022-03-22	B9	5123	EZ	0	FALSE	2	2700	0.107	sunrise
none	0		2022-03-22	B10	5123	EZ	0	FALSE	10	2700	0.111	sunrise
none	0		2022-03-22	B11	5144	EZ	0	FALSE	2	2700	0.109	sunrise
none	0		2022-03-22	B12	5144	EZ	0	FALSE	10	2700	0.115	sunrise
none	0		2022-03-22	C1	0	LB	0	FALSE	3	2700	0.083	sunrise
none	0		2022-03-22	C2	0	LB	0	FALSE	11	2700	0.086	sunrise
